C_major,100010010000
C_minor,100100010000
C_dim,100100100000
C_dim7,100100100100
C_sus2,101000010000
C_sus4,100001010000
C_7sus4,100001010010
C_aug,100010001000
C_5,100000010000
C_6,100010010100
C_69,101010010100
C_7,100010010010
C_7b5,100010100010
C_aug7,100010001010
C_9,101010010010
C_9b5,101010100010
C_7b9,110010010010
C_7#9,100110010010
C_11,101001010010
C_9#11,101010110010
C_13,101010010110
C_maj7,100010010001
C_maj7#5,100010001001
C_maj9,101010010001
C_maj13,101010010101
C_m6,100100010100
C_m69,101100010100
C_m7,100100010010
C_m7b5,100100100010
C_m9,101100010010
C_m11,101101010010
C_add9,101010010000
C_madd9,101100010000
C#_major,010001001000
C#_minor,010010001000
C#_dim,010010010000
C#_dim7,010010010010
C#_sus2,010100001000
C#_sus4,010000101000
C#_7sus4,010000101001
C#_aug,010001000100
C#_5,010000001000
C#_6,010001001010
C#_69,010101001010
C#_7,010001001001
C#_7b5,010001010001
C#_aug7,010001000101
C#_9,010101001001
C#_9b5,010101010001
C#_7b9,011001001001
C#_7#9,010011001001
C#_11,010100101001
C#_9#11,010101011001
C#_13,010101001011
C#_maj7,110001001000
C#_maj7#5,110001000100
C#_maj9,110101001000
C#_maj13,110101001010
C#_m6,010010001010
C#_m69,010110001010
C#_m7,010010001001
C#_m7b5,010010010001
C#_m9,010110001001
C#_m11,010110101001
C#_add9,010101001000
C#_madd9,010110001000
D_major,001000100100
D_minor,001001000100
D_dim,001001001000
D_dim7,001001001001
D_sus2,001010000100
D_sus4,001000010100
D_7sus4,101000010100
D_aug,001000100010
D_5,001000000100
D_6,001000100101
D_69,001010100101
D_7,101000100100
D_7b5,101000101000
D_aug7,101000100010
D_9,101010100100
D_9b5,101010101000
D_7b9,101100100100
D_7#9,101001100100
D_11,101010010100
D_9#11,101010101100
D_13,101010100101
D_maj7,011000100100
D_maj7#5,011000100010
D_maj9,011010100100
D_maj13,011010100101
D_m6,001001000101
D_m69,001011000101
D_m7,101001000100
D_m7b5,101001001000
D_m9,101011000100
D_m11,101011010100
D_add9,001010100100
D_madd9,001011000100
Eb_major,000100010010
Eb_minor,000100100010
Eb_dim,000100100100
Eb_dim7,100100100100
Eb_sus2,000101000010
Eb_sus4,000100001010
Eb_7sus4,010100001010
Eb_aug,000100010001
Eb_5,000100000010
Eb_6,100100010010
Eb_69,100101010010
Eb_7,010100010010
Eb_7b5,010100010100
Eb_aug7,010100010001
Eb_9,010101010010
Eb_9b5,010101010100
Eb_7b9,010110010010
Eb_7#9,010100110010
Eb_11,010101001010
Eb_9#11,010101010110
Eb_13,110101010010
Eb_maj7,001100010010
Eb_maj7#5,001100010001
Eb_maj9,001101010010
Eb_maj13,101101010010
Eb_m6,100100100010
Eb_m69,100101100010
Eb_m7,010100100010
Eb_m7b5,010100100100
Eb_m9,010101100010
Eb_m11,010101101010
Eb_add9,000101010010
Eb_madd9,000101100010
E_major,000010001001
E_minor,000010010001
E_dim,000010010010
E_dim7,010010010010
E_sus2,000010100001
E_sus4,000010000101
E_7sus4,001010000101
E_aug,100010001000
E_5,000010000001
E_6,010010001001
E_69,010010101001
E_7,001010001001
E_7b5,001010001010
E_aug7,101010001000
E_9,001010101001
E_9b5,001010101010
E_7b9,001011001001
E_7#9,001010011001
E_11,001010100101
E_9#11,001010101011
E_13,011010101001
E_maj7,000110001001
E_maj7#5,100110001000
E_maj9,000110101001
E_maj13,010110101001
E_m6,010010010001
E_m69,010010110001
E_m7,001010010001
E_m7b5,001010010010
E_m9,001010110001
E_m11,001010110101
E_add9,000010101001
E_madd9,000010110001
F_major,100001000100
F_minor,100001001000
F_dim,000001001001
F_dim7,001001001001
F_sus2,100001010000
F_sus4,100001000010
F_7sus4,100101000010
F_aug,010001000100
F_5,100001000000
F_6,101001000100
F_69,101001010100
F_7,100101000100
F_7b5,000101000101
F_aug7,010101000100
F_9,100101010100
F_9b5,000101010101
F_7b9,100101100100
F_7#9,100101001100
F_11,100101010010
F_9#11,100101010101
F_13,101101010100
F_maj7,100011000100
F_maj7#5,010011000100
F_maj9,100011010100
F_maj13,101011010100
F_m6,101001001000
F_m69,101001011000
F_m7,100101001000
F_m7b5,000101001001
F_m9,100101011000
F_m11,100101011010
F_add9,100001010100
F_madd9,100001011000
F#_major,010000100010
F#_minor,010000100100
F#_dim,100000100100
F#_dim7,100100100100
F#_sus2,010000101000
F#_sus4,010000100001
F#_7sus4,010010100001
F#_aug,001000100010
F#_5,010000100000
F#_6,010100100010
F#_69,010100101010
F#_7,010010100010
F#_7b5,100010100010
F#_aug7,001010100010
F#_9,010010101010
F#_9b5,100010101010
F#_7b9,010010110010
F#_7#9,010010100110
F#_11,010010101001
F#_9#11,110010101010
F#_13,010110101010
F#_maj7,010001100010
F#_maj7#5,001001100010
F#_maj9,010001101010
F#_maj13,010101101010
F#_m6,010100100100
F#_m69,010100101100
F#_m7,010010100100
F#_m7b5,100010100100
F#_m9,010010101100
F#_m11,010010101101
F#_add9,010000101010
F#_madd9,010000101100
G_major,001000010001
G_minor,001000010010
G_dim,010000010010
G_dim7,010010010010
G_sus2,001000010100
G_sus4,101000010000
G_7sus4,101001010000
G_aug,000100010001
G_5,001000010000
G_6,001010010001
G_69,001010010101
G_7,001001010001
G_7b5,010001010001
G_aug7,000101010001
G_9,001001010101
G_9b5,010001010101
G_7b9,001001011001
G_7#9,001001010011
G_11,101001010100
G_9#11,011001010101
G_13,001011010101
G_maj7,001000110001
G_maj7#5,000100110001
G_maj9,001000110101
G_maj13,001010110101
G_m6,001010010010
G_m69,001010010110
G_m7,001001010010
G_m7b5,010001010010
G_m9,001001010110
G_m11,101001010110
G_add9,001000010101
G_madd9,001000010110
Ab_major,100100001000
Ab_minor,000100001001
Ab_dim,001000001001
Ab_dim7,001001001001
Ab_sus2,000100001010
Ab_sus4,010100001000
Ab_7sus4,010100101000
Ab_aug,100010001000
Ab_5,000100001000
Ab_6,100101001000
Ab_69,100101001010
Ab_7,100100101000
Ab_7b5,101000101000
Ab_aug7,100010101000
Ab_9,100100101010
Ab_9b5,101000101010
Ab_7b9,100100101100
Ab_7#9,100100101001
Ab_11,010100101010
Ab_9#11,101100101010
Ab_13,100101101010
Ab_maj7,100100011000
Ab_maj7#5,100010011000
Ab_maj9,100100011010
Ab_maj13,100101011010
Ab_m6,000101001001
Ab_m69,000101001011
Ab_m7,000100101001
Ab_m7b5,001000101001
Ab_m9,000100101011
Ab_m11,010100101011
Ab_add9,100100001010
Ab_madd9,000100001011
A_major,010010000100
A_minor,100010000100
A_dim,100100000100
A_dim7,100100100100
A_sus2,000010000101
A_sus4,001010000100
A_7sus4,001010010100
A_aug,010001000100
A_5,000010000100
A_6,010010100100
A_69,010010100101
A_7,010010010100
A_7b5,010100010100
A_aug7,010001010100
A_9,010010010101
A_9b5,010100010101
A_7b9,010010010110
A_7#9,110010010100
A_11,001010010101
A_9#11,010110010101
A_13,010010110101
A_maj7,010010001100
A_maj7#5,010001001100
A_maj9,010010001101
A_maj13,010010101101
A_m6,100010100100
A_m69,100010100101
A_m7,100010010100
A_m7b5,100100010100
A_m9,100010010101
A_m11,101010010101
A_add9,010010000101
A_madd9,100010000101
Bb_major,001001000010
Bb_minor,010001000010
Bb_dim,010010000010
Bb_dim7,010010010010
Bb_sus2,100001000010
Bb_sus4,000101000010
Bb_7sus4,000101001010
Bb_aug,001000100010
Bb_5,000001000010
Bb_6,001001010010
Bb_69,101001010010
Bb_7,001001001010
Bb_7b5,001010001010
Bb_aug7,001000101010
Bb_9,101001001010
Bb_9b5,101010001010
Bb_7b9,001001001011
Bb_7#9,011001001010
Bb_11,100101001010
Bb_9#11,101011001010
Bb_13,101001011010
Bb_maj7,001001000110
Bb_maj7#5,001000100110
Bb_maj9,101001000110
Bb_maj13,101001010110
Bb_m6,010001010010
Bb_m69,110001010010
Bb_m7,010001001010
Bb_m7b5,010010001010
Bb_m9,110001001010
Bb_m11,110101001010
Bb_add9,101001000010
Bb_madd9,110001000010
B_major,000100100001
B_minor,001000100001
B_dim,001001000001
B_dim7,001001001001
B_sus2,010000100001
B_sus4,000010100001
B_7sus4,000010100101
B_aug,000100010001
B_5,000000100001
B_6,000100101001
B_69,010100101001
B_7,000100100101
B_7b5,000101000101
B_aug7,000100010101
B_9,010100100101
B_9b5,010101000101
B_7b9,100100100101
B_7#9,001100100101
B_11,010010100101
B_9#11,010101100101
B_13,010100101101
B_maj7,000100100011
B_maj7#5,000100010011
B_maj9,010100100011
B_maj13,010100101011
B_m6,001000101001
B_m69,011000101001
B_m7,001000100101
B_m7b5,001001000101
B_m9,011000100101
B_m11,011010100101
B_add9,010100100001
B_madd9,011000100001